P-S,SI,ARCH,ANG,ITM,AN,L-M
P-S,SI,ARCH,ANG,ITM,AN,
P-S,SI,ARCH,ANG,ITM,L-M,
P-S,SI,ARCH,ANG,ITM,,
P-S,SI,ARCH,ANG,AN,L-M,
P-S,SI,ARCH,ANG,AN,,
P-S,SI,ARCH,ANG,L-M,,
P-S,SI,ARCH,ANG,,,
P-S,SI,ARCH,ITM,AN,L-M,
P-S,SI,ARCH,ITM,AN,,
P-S,SI,ARCH,ITM,L-M,,
P-S,SI,ARCH,ITM,,,
P-S,SI,ARCH,AN,L-M,,
P-S,SI,ARCH,AN,,,
P-S,SI,ARCH,L-M,,,
P-S,SI,ARCH,,,,
P-S,SI,ANG,ITM,AN,L-M,
P-S,SI,ANG,ITM,AN,,
P-S,SI,ANG,ITM,L-M,,
P-S,SI,ANG,ITM,,,
P-S,SI,ANG,AN,L-M,,
P-S,SI,ANG,AN,,,
P-S,SI,ANG,L-M,,,
P-S,SI,ANG,,,,
P-S,SI,ITM,AN,L-M,,
P-S,SI,ITM,AN,,,
P-S,SI,ITM,L-M,,,
P-S,SI,ITM,,,,
P-S,SI,AN,L-M,,,
P-S,SI,AN,,,,
P-S,SI,L-M,,,,
P-S,SI,,,,,
P-S,ARCH,ANG,ITM,L-M,AN,
P-S,ARCH,ANG,ITM,L-M,,
P-S,ARCH,ANG,ITM,AN,,
P-S,ARCH,ANG,ITM,,,
P-S,ARCH,ANG,AN,L-M,,
P-S,ARCH,ANG,AN,,,
P-S,ARCH,ANG,L-M,,,
P-S,ARCH,ANG,,,,
P-S,ARCH,ITM,AN,L-M,,
P-S,ARCH,ITM,AN,,,
P-S,ARCH,ITM,L-M,,,
P-S,ARCH,ITM,,,,
P-S,ARCH,AN,L-M,,,
P-S,ARCH,AN,,,,
P-S,ARCH,L-M,,,,
P-S,ARCH,,,,,
P-S,ITM,ANG,L-M,AN,,
P-S,ITM,ANG,L-M,,,
P-S,ITM,ANG,AN,,,
P-S,ITM,ANG,,,,
P-S,ITM,AN,L-M,,,
P-S,ITM,AN,,,,
P-S,ITM,L-M,,,,
P-S,ITM,,,,,
P-S,ANG,AN,L-M,,,
P-S,ANG,AN,,,,
P-S,ANG,L-M,,,,
P-S,ANG,,,,,
P-S,AN,L-M,,,,
P-S,AN,,,,,
P-S,L-M,,,,,
ITM,ANG,ARCH,SI,AN,L-M,
ITM,ANG,ARCH,SI,AN,,
ITM,ANG,ARCH,SI,L-M,,
ITM,ANG,ARCH,SI,,,
ITM,ANG,ARCH,AN,L-M,,
ITM,ANG,ARCH,AN,,,
ITM,ANG,ARCH,L-M,,,
ITM,ANG,ARCH,,,,
ITM,ANG,SI,AN,L-M,,
ITM,ANG,SI,AN,,,
ITM,ANG,SI,L-M,,,
ITM,ANG,SI,,,,
ITM,ANG,AN,L-M,,,
ITM,ANG,AN,,,,
ITM,ANG,L-M,,,,
ITM,ANG,,,,,
ITM,SI,ARCH,AN,L-M,,
ITM,SI,ARCH,AN,,,
ITM,SI,ARCH,L-M,,,
ITM,SI,ARCH,,,,
ITM,SI,AN,L-M,,,
ITM,SI,AN,,,,
ITM,SI,L-M,,,,
ITM,SI,,,,,
ITM,ARCH,AN,L-M,,,
ITM,ARCH,AN,,,,
ITM,ARCH,L-M,,,,
ITM,ARCH,,,,,
ITM,AN,L-M,,,,
ITM,AN,,,,,
ITM,L-M,,,,,
SI,ARCH,ANG,AN,L-M,,
SI,ARCH,ANG,AN,,,
SI,ARCH,ANG,L-M,,,
SI,ARCH,ANG,,,,
SI,ARCH,AN,L-M,,,
SI,ARCH,AN,,,,
SI,ARCH,L-M,,,,
SI,ARCH,,,,,
SI,ANG,AN,L-M,,,
SI,ANG,AN,,,,
SI,ANG,L-M,,,,
SI,ANG,,,,,
SI,AN,L-M,,,,
SI,AN,,,,,
SI,L-M,,,,,
ARCH,ANG,AN,L-M,,,
ARCH,ANG,AN,,,,
ARCH,ANG,L-M,,,,
ARCH,ANG,,,,,
ARCH,AN,L-M,,,,
ARCH,AN,,,,,
ARCH,L-M,,,,,
ANG,AN,L-M,,,,
ANG,AN,,,,,
ANG,L-M,,,,,
AN,L-M,,,,,
