TAVTS,STR,RECHB,,,,
TAVTS,STR,,,,,
TAVTS,RECHB,,,,,
CCSI,PRCL,GPI,GPI1,RECHB,STR,RECB
CCSI,PRCL,GPI,GPI1,RECHB,STR,
CCSI,PRCL,GPI,GPI1,RECHB,RECB,
CCSI,PRCL,GPI,GPI1,RECHB,,
CCSI,PRCL,GPI,GPI1,STR,RECB,
CCSI,PRCL,GPI,GPI1,STR,,
CCSI,PRCL,GPI,GPI1,RECB,,
CCSI,PRCL,GPI,GPI1,,,
CCSI,PRCL,GPI,RECHB,STR,RECB,
CCSI,PRCL,GPI,RECHB,STR,,
CCSI,PRCL,GPI,RECHB,RECB,,
CCSI,PRCL,GPI,RECHB,,,
CCSI,PRCL,GPI,STR,RECB,,
CCSI,PRCL,GPI,STR,,,
CCSI,PRCL,GPI,RECB,,,
CCSI,PRCL,GPI,,,,
CCSI,PRCL,GPI1,RECHB,STR,RECB,
CCSI,PRCL,GPI1,RECHB,STR,,
CCSI,PRCL,GPI1,RECHB,RECB,,
CCSI,PRCL,GPI1,RECHB,,,
CCSI,PRCL,GPI1,STR,RECB,,
CCSI,PRCL,GPI1,STR,,,
CCSI,PRCL,GPI1,RECB,,,
CCSI,PRCL,GPI1,,,,
CCSI,PRCL,RECHB,STR,RECB,,
CCSI,PRCL,RECHB,STR,,,
CCSI,PRCL,RECHB,RECB,,,
CCSI,PRCL,RECHB,,,,
CCSI,PRCL,STR,RECB,,,
CCSI,PRCL,STR,,,,
CCSI,PRCL,RECB,,,,
CCSI,PRCL,,,,,
CCSI,STR,RECB,GPI,GPI1,RECHB,
CCSI,STR,RECB,GPI,GPI1,,
CCSI,STR,RECB,GPI,RECHB,,
CCSI,STR,RECB,GPI,,,
CCSI,STR,RECB,GPI1,RECHB,,
CCSI,STR,RECB,GPI1,,,
CCSI,STR,RECB,RECHB,,,
CCSI,STR,RECB,,,,
CCSI,STR,GPI,GPI1,RECHB,,
CCSI,STR,GPI,GPI1,,,
CCSI,STR,GPI,RECHB,,,
CCSI,STR,GPI,,,,
CCSI,STR,GPI1,RECHB,,,
CCSI,STR,GPI1,,,,
CCSI,STR,RECHB,,,,
CCSI,STR,,,,,
CCSI,RECB,GPI,GPI1,RECHB,,
CCSI,RECB,GPI,GPI1,,,
CCSI,RECB,GPI,RECHB,,,
CCSI,RECB,GPI,,,,
CCSI,RECB,GPI1,RECHB,,,
CCSI,RECB,GPI1,,,,
CCSI,RECB,RECHB,,,,
CCSI,RECB,,,,,
CCSI,GPI,GPI1,RECHB,,,
CCSI,GPI,GPI1,,,,
CCSI,GPI,RECHB,,,,
CCSI,GPI,,,,,
CCSI,GPI1,RECHB,,,,
CCSI,GPI1,,,,,
CCSI,RECHB,,,,,
MTLOG,GESQ,GESTP,DAPMA,,,
MTLOG,GESQ,GESTP,,,,
MTLOG,GESQ,DAPMA,,,,
MTLOG,GESQ,,,,,
MTLOG,GESTP,DAPMA,,,,
MTLOG,GESTP,,,,,
MTLOG,DAPMA,,,,,
GESTP,DAPMA,GESQ,,,,
GESTP,DAPMA,,,,,
GESTP,GESQ,,,,,
GESQ,DAPMA,,,,,
GPI,MADN,MOORG,SMP,SPART,RECB,
GPI,MADN,MOORG,SMP,SPART,,
GPI,MADN,MOORG,SMP,RECB,,
GPI,MADN,MOORG,SMP,,,
GPI,MADN,MOORG,SPART,RECB,,
GPI,MADN,MOORG,SPART,,,
GPI,MADN,MOORG,RECB,,,
GPI,MADN,MOORG,,,,
GPI,MADN,SMP,SPART,RECB,,
GPI,MADN,SMP,SPART,,,
GPI,MADN,SMP,RECB,,,
GPI,MADN,SMP,,,,
GPI,MADN,SPART,RECB,,,
GPI,MADN,SPART,,,,
GPI,MADN,RECB,,,,
GPI,MADN,,,,,
GPI,MOORG,SMP,SPART,RECB,,
GPI,MOORG,SMP,SPART,,,
GPI,MOORG,SMP,RECB,,,
GPI,MOORG,SMP,,,,
GPI,MOORG,SPART,RECB,,,
GPI,MOORG,SPART,,,,
GPI,MOORG,RECB,,,,
GPI,MOORG,,,,,
GPI,SMP,SPART,RECB,,,
GPI,SMP,SPART,,,,
GPI,SMP,RECB,,,,
GPI,SMP,,,,,
GPI,SPART,RECB,,,,
GPI,SPART,,,,,
GPI,GPI1,PRCL,RECHB,STR,RECB,
GPI,GPI1,PRCL,RECHB,STR,,
GPI,GPI1,PRCL,RECHB,RECB,,
GPI,GPI1,PRCL,RECHB,,,
GPI,GPI1,PRCL,STR,RECB,,
GPI,GPI1,PRCL,STR,,,
GPI,GPI1,PRCL,RECB,,,
GPI,GPI1,PRCL,,,,
GPI,GPI1,STR,RECB,RECHB,,
GPI,GPI1,STR,RECB,,,
GPI,GPI1,STR,RECHB,,,
GPI,GPI1,STR,,,,
GPI,GPI1,RECB,RECHB,,,
GPI,GPI1,RECB,,,,
GPI,GPI1,RECHB,,,,
GPI,GPI1,,,,,
GPI,RECHB,PRCL,STR,RECB,,
GPI,RECHB,PRCL,STR,,,
GPI,RECHB,PRCL,RECB,,,
GPI,RECHB,PRCL,,,,
GPI,RECHB,STR,RECB,,,
GPI,RECHB,STR,,,,
GPI,RECHB,RECB,,,,
GPI,RECHB,,,,,
GPI,PRCL,RECB,STR,,,
GPI,PRCL,RECB,,,,
GPI,PRCL,STR,,,,
GPI,PRCL,,,,,
GPI,STR,RECB,,,,
GPI,STR,,,,,
GPI,RECB,,,,,
SPART,SMP,MADN,RECB,MOORG,,
SPART,SMP,MADN,RECB,,,
SPART,SMP,MADN,MOORG,,,
SPART,SMP,MADN,,,,
SPART,SMP,MOORG,RECB,,,
SPART,SMP,MOORG,,,,
SPART,SMP,RECB,,,,
SPART,SMP,,,,,
SPART,MOORG,RECB,MADN,,,
SPART,MOORG,RECB,,,,
SPART,MOORG,MADN,,,,
SPART,MOORG,,,,,
SPART,RECB,MADN,,,,
SPART,RECB,,,,,
SPART,MADN,,,,,
GPI1,RECB,PRCL,RECHB,STR,,
GPI1,RECB,PRCL,RECHB,,,
GPI1,RECB,PRCL,STR,,,
GPI1,RECB,PRCL,,,,
GPI1,RECB,STR,RECHB,,,
GPI1,RECB,STR,,,,
GPI1,RECB,RECHB,,,,
GPI1,RECB,,,,,
GPI1,PRCL,RECHB,STR,,,
GPI1,PRCL,RECHB,,,,
GPI1,PRCL,STR,,,,
GPI1,PRCL,,,,,
GPI1,STR,RECHB,,,,
GPI1,STR,,,,,
GPI1,RECHB,,,,,
PRCL,RECB,RECHB,STR,,,
PRCL,RECB,RECHB,,,,
PRCL,RECB,STR,,,,
PRCL,RECB,,,,,
PRCL,RECHB,STR,,,,
PRCL,RECHB,,,,,
PRCL,STR,,,,,
RECHB,RECB,STR,,,,
RECHB,RECB,,,,,
RECHB,STR,,,,,
STR,RECB,,,,,
MADN,SMP,MOORG,RECB,,,
MADN,SMP,MOORG,,,,
MADN,SMP,RECB,,,,
MADN,SMP,,,,,
MADN,MOORG,RECB,,,,
MADN,MOORG,,,,,
MADN,RECB,,,,,
SMP,MOORG,RECB,,,,
SMP,MOORG,,,,,
SMP,RECB,,,,,
SRW,QSER,PARCL,RBIB,,,
SRW,QSER,PARCL,,,,
SRW,QSER,RBIB,,,,
SRW,QSER,,,,,
SRW,PARCL,RBIB,,,,
SRW,PARCL,,,,,
SRW,RBIB,,,,,
MOORG,RECB,,,,,
PARCL,QSER,RBIB,,,,
PARCL,QSER,,,,,
PARCL,RBIB,,,,,
QSER,RBIB,,,,,
